x,y
5258962.203596661,1763255.1507184713
5362083.931045796,1972057.768990178
5302145.125892979,1681415.2337352186
5365113.240667698,1736767.508212672
5309360.118844729,1676347.802259842
5210883.43597763,1880937.2507956752
5190608.731418569,1912209.3992629286
7631625.038427924,1251932.681357396
7474448.010451037,1201744.4444916917
7627542.475248796,1259557.8581055098
7464395.319893042,1189128.9648842858
7563794.86630752,1359781.4198073866
7573400.762598814,1696901.9263830092
4684664.551311579,1926757.629642965
4684462.225838145,1920384.6210047263
4682332.382492366,1907814.8740842585
4690344.401862693,1909091.8890936584
5830212.525621577,1544450.896185653
5892812.271783764,1501219.1789370747
5827023.554637308,1538831.0121190613
5827456.345186325,1554504.5879174306
5753527.528601445,1511400.9367458152
5911775.773829171,1564112.006115165
5814821.230323715,1631065.9192552227
4644867.239732192,1829430.4668102833
5212585.503083938,1893131.1061105141
5204278.950220853,1894090.7061037251
5383945.342598361,1578428.6686095684
5462527.307117904,1817180.4176979687
7210162.7641785685,970640.016177688
7255278.5159144625,850458.1401027201
5737478.403797022,1757932.2654909752
5820401.2780007515,1549523.201966684
5720918.9206423,1688400.888425043
5819965.151706075,1544757.527515288
5821397.849046342,1531335.6925645052
5064217.744195354,1701601.3650158006
7637710.023639399,1230419.455315488
7631505.186734131,1260514.1809073023
7610020.3290506005,1230836.1415129984
7632673.041507848,1237425.1667533615
7264873.513544015,861448.5914297571
7232566.907818693,858793.1489773381
5819586.766884013,1539170.4145921655
4693916.564547595,1921450.6518958756
4678060.759224967,1913100.751826513
7631091.528265539,1247301.5294633533
7611193.9505191725,1242963.6397559438
6967922.089697989,703779.613288008
6777013.259298373,1231540.7701761345
7231228.068709512,941530.9987366498
4687141.492748714,1932907.0013529384
4681918.392017838,1936710.6932865775
7210844.613339666,927241.181931387
7214723.07765047,922259.3219610113
7235980.638219464,943944.3011985915
7231726.045499224,948228.6400178273
7238144.840852365,949008.0911875826
4677510.108912684,1926731.6797506418
4694352.178235752,1931092.3406319804
7158036.788595344,901929.4206122999
7180205.361814633,820825.4710877475
7255860.564716877,1070635.533469736
7195508.163119095,878340.1132978009
7207048.666596269,932877.2110053633
7204847.97614041,875927.0096714871
7186213.955798959,872736.222987468
7358297.775314901,1079418.155372514
7055205.002092806,923456.2258508875
6263638.018358184,1833183.3281904976
7200876.390338462,956175.4545989744
7128067.1738675125,892864.5899670894
7034483.833754967,802701.513492234
7420041.788299067,1112631.4909066379
7198066.902291207,899382.455727306
7470311.170950659,1187326.76931964
7262740.24104188,963310.7749761232
7125077.277063645,846560.1589693452
4812001.650816256,2169825.179006677
4818090.674772985,2171620.763893138
7195724.396153074,872349.504221049
7441867.938129047,1177220.332809524
7474733.094937131,1105539.6221126302
7224323.386761988,966753.1409704494
7317344.8242395725,1003484.0707710641
7486072.448539567,1193136.0825380902
7476515.267590148,1185642.1203065368
7218186.203444511,926925.2995472235
4816583.260347113,2158066.51140299
4807583.347233389,2160555.5755593674
