Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Gerry,Byrne,Humber—St. Barbe—Baie Verte,Newfoundland and Labrador,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Charles,Caccia,Davenport,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Chuck,Cadman,Surrey North,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Murray,Calder,Dufferin—Peel—Wellington—Grey,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,John,Cannis,Scarborough Centre,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,René,Canuel,Matapédia—Matane,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Elinor,Caplan,Thornhill,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Serge,Cardin,Sherbrooke,Quebec,Bloc Québécois,1998-09-14 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Aileen,Carroll,Barrie—Simcoe—Bradford,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Bill,Casey,Cumberland—Colchester,Nova Scotia,PC,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Rick,Casson,Lethbridge,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Marlene,Catterall,Ottawa West—Nepean,Ontario,,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Martin,Cauchon,Outremont,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Brenda,Chamberlain,Guelph—Wellington,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Raymond,Chan,Richmond,British Columbia,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Yvon,Charbonneau,Anjou—Rivière-des-Prairies,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Jean,Charest,Sherbrooke,Quebec,PC,1997-06-02 12:00:00 AM,1998-05-01 12:00:00 AM
,David,Chatters,Athabasca,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Right Hon.,Jean,Chrétien,Saint-Maurice,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Jean-Guy,Chrétien,Frontenac—Mégantic,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Right Hon.,Joe,Clark,Kings—Hants,Nova Scotia,PC,2000-09-11 12:00:00 AM,2000-11-26 12:00:00 AM
,Hec,Clouthier,Renfrew—Nipissing—Pembroke,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Denis,Coderre,Bourassa,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Shaughnessy,Cohen,Windsor—St. Clair,Ontario,Liberal,1997-06-02 12:00:00 AM,1998-12-09 12:00:00 AM
Hon.,David,Collenette,Don Valley East,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Joe,Comuzzi,Thunder Bay—Superior North,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Sheila,Copps,Hamilton East,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Irwin,Cotler,Mount Royal,Quebec,Liberal,1999-11-15 12:00:00 AM,2000-11-26 12:00:00 AM
,Paul,Crête,Kamouraska—Rivière-du-Loup—Témiscouata—Les Basques,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Roy,Cullen,Etobicoke North,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,John,Cummins,Delta—South Richmond,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Madeleine,Dalphond-Guiral,Laval Centre,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Libby,Davies,Vancouver East,British Columbia,NDP,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Stockwell,Day,Okanagan—Coquihalla,British Columbia,Canadian Alliance,2000-09-11 12:00:00 AM,2000-11-26 12:00:00 AM
,Pierre,de Savoye,Portneuf,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Maud,Debien,Laval East,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Bev,Desjarlais,Churchill,Manitoba,NDP,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Odina,Desrochers,Lotbinière—L'Érable,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Paul,DeVillers,Simcoe North,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Herb,Dhaliwal,Vancouver South—Burnaby,British Columbia,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Stéphane,Dion,Saint-Laurent—Cartierville,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Nick,Discepola,Vaudreuil—Soulanges,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Michelle,Dockrill,Bras d'Or—Cape Breton,Nova Scotia,NDP,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Norman E.,Doyle,St. John's East,Newfoundland and Labrador,PC,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Stan,Dromisky,Thunder Bay—Atikokan,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Claude,Drouin,Beauce,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Antoine,Dubé,Lévis-et-Chutes-de-la-Chaudière,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Jean,Dubé,Madawaska—Restigouche,New Brunswick,PC,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Gilles,Duceppe,Laurier—Sainte-Marie,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
